ID,ACORN_Category
MAC004910,Affluent Achievers
MAC000689,Affluent Achievers
MAC000630,Affluent Achievers
MAC005489,Affluent Achievers
MAC000545,Affluent Achievers
MAC005550,Affluent Achievers
MAC000517,Affluent Achievers
MAC000744,Affluent Achievers
MAC002070,Affluent Achievers
MAC001401,Affluent Achievers
MAC001488,Affluent Achievers
MAC003736,Affluent Achievers
MAC001988,Affluent Achievers
MAC001958,Affluent Achievers
MAC003745,Affluent Achievers
MAC003762,Affluent Achievers
MAC003766,Affluent Achievers
MAC001465,Affluent Achievers
MAC003782,Affluent Achievers
MAC001664,Affluent Achievers
MAC001652,Affluent Achievers
MAC003914,Affluent Achievers
MAC001579,Affluent Achievers
MAC001553,Affluent Achievers
MAC001544,Affluent Achievers
MAC001695,Affluent Achievers
MAC001661,Affluent Achievers
MAC002604,Affluent Achievers
MAC003033,Affluent Achievers
MAC003901,Affluent Achievers
MAC003889,Affluent Achievers
MAC005066,Affluent Achievers
MAC005112,Affluent Achievers
MAC005320,Affluent Achievers
MAC003843,Affluent Achievers
MAC003804,Affluent Achievers
MAC003787,Affluent Achievers
MAC003907,Affluent Achievers
MAC003776,Affluent Achievers
MAC003755,Affluent Achievers
MAC003748,Affluent Achievers
MAC005506,Affluent Achievers
MAC003731,Affluent Achievers
MAC005509,Affluent Achievers
MAC000005,Affluent Achievers
MAC000017,Affluent Achievers
MAC003642,Affluent Achievers
MAC005490,Affluent Achievers
MAC003912,Affluent Achievers
MAC003933,Affluent Achievers
MAC004029,Affluent Achievers
MAC004750,Affluent Achievers
MAC004712,Affluent Achievers
MAC004673,Affluent Achievers
MAC004664,Affluent Achievers
MAC004585,Affluent Achievers
MAC004925,Affluent Achievers
MAC004504,Affluent Achievers
MAC004455,Affluent Achievers
MAC004447,Affluent Achievers
MAC004415,Affluent Achievers
MAC004406,Affluent Achievers
MAC004989,Affluent Achievers
MAC004369,Affluent Achievers
MAC004367,Affluent Achievers
MAC004336,Affluent Achievers
MAC004249,Affluent Achievers
MAC005028,Affluent Achievers
MAC004108,Affluent Achievers
MAC004040,Affluent Achievers
MAC003639,Affluent Achievers
MAC000598,Affluent Achievers
MAC003592,Affluent Achievers
MAC003584,Affluent Achievers
MAC003313,Affluent Achievers
MAC003299,Affluent Achievers
MAC003288,Affluent Achievers
MAC003287,Affluent Achievers
